[2025-05-11 13:13:28] INFO: Koneksi ke database berhasil
[2025-05-11 13:13:28] INFO: Server berjalan di http://localhost:8080
[2025-05-11 13:13:32] INFO: Koneksi ke database berhasil
[2025-05-11 13:13:32] INFO: Server berjalan di http://localhost:8080
[2025-05-11 13:13:35] INFO: Koneksi ke database berhasil
[2025-05-11 13:13:35] INFO: Server berjalan di http://localhost:8080
[2025-05-11 13:36:14] INFO: Method=GET, IP=127.0.0.1:37738, User-Agent=GuzzleHttp/7, Endpoint=/tasks-id, Status=200, ResponseTime=589.8µs, Message=Fetched task by ID
[2025-05-11 13:36:14] INFO: Method=GET, IP=127.0.0.1:37742, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=200, ResponseTime=445.3µs, Message=Fetched ongoing tasks
[2025-05-11 13:36:14] INFO: Method=GET, IP=127.0.0.1:37756, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=200, ResponseTime=387µs, Message=Fetched completed tasks
[2025-05-11 13:36:26] INFO: Method=GET, IP=127.0.0.1:59646, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=200, ResponseTime=533.4µs, Message=Fetched ongoing tasks
[2025-05-11 13:36:26] INFO: Method=GET, IP=127.0.0.1:59654, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=200, ResponseTime=359.3µs, Message=Fetched completed tasks
[2025-05-11 13:36:32] INFO: Method=DELETE, IP=127.0.0.1:45690, User-Agent=GuzzleHttp/7, Endpoint=/tasks, Status=204, ResponseTime=0s, Message=Berhasil menghapus task ID: 15
[2025-05-11 13:36:32] INFO: Method=DELETE, IP=127.0.0.1:45690, User-Agent=GuzzleHttp/7, Endpoint=/tasks, Status=200, ResponseTime=3.891101ms, Message=Task deleted successfully
[2025-05-11 13:36:32] ERROR: Method=GET, IP=127.0.0.1:45700, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=404, ResponseTime=316.7µs, Error=Data task ongoing tidak ditemukan
[2025-05-11 13:36:32] INFO: Method=GET, IP=127.0.0.1:45714, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=200, ResponseTime=300.6µs, Message=Fetched completed tasks
[2025-05-11 13:36:44] ERROR: Method=GET, IP=127.0.0.1:57196, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=404, ResponseTime=567.5µs, Error=Data task ongoing tidak ditemukan
